lat,lon,CMFD_lat,CMFD_lon,soil_1_MAJORITY,soil_2_MAJORITY,soil_3_MAJORITY,soil_4_MAJORITY,soil_5_MAJORITY,soil_6_MAJORITY,soil_7_MAJORITY,soil_8_MAJORITY,soil_9_MAJORITY,soil_10_MAJORITY,soil_11_MAJORITY,soil_12_MAJORITY,soil_13_MAJORITY,soil_14_MAJORITY,soil_15_MAJORITY,soil_16_MAJORITY,soil_17_MAJORITY,soil_18_MAJORITY,Soil_htype,ORIG_FID,slope_MEAN,aspect_MEAN,ele_MEAN,Vegetation_type_index,soil_1,soil_2,soil_3,soil_4,soil_5,soil_6,soil_7,soil_8,soil_9,soil_10,soil_11,soil_12,soil_13,soil_14,soil_15,soil_16,soil_17,soil_18
32.2,91.7,32.22,91.66,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,14,14, 7  7  7  7  7  9  7  7  7  7  12  12  12  13  13  13  16  16,9610,1.151850566,169.4770916,4700.375,7.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,13.0,13.0,13.0,16.0,16.0
32.3,91.7,32.32,91.66,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,14,14, 7  7  7  7  7  9  7  7  7  16  16  16  16  16  16  16  16  16,9865,0.5844927010000001,220.7989934,4871.333333,7.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
32.4,91.7,32.42,91.66,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,14,14, 7  7  7  7  7  7  7  7  12  12  12  12  12  13  13  13  13  13,10119,0.454249024,150.97553249999999,4956.875,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0
32.5,91.7,32.52,91.66,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,14,14, 7  7  7  7  7  7  7  12  12  12  12  12  12  12  12  13  13  13,10370,0.6155683470000001,217.1336441,5019.625,9.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0
32.6,91.7,32.62,91.66,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12,12,12,12,12,12,12,12,13,13,13, 7  7  7  7  7  7  7  12  12  12  12  12  12  12  12  13  13  14,10617,0.47102269,339.10965980000003,4995.25,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,14.0
32.7,91.7,32.72,91.66,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12,12,12,12,12,12,12,12,14,14,13, 7  7  7  7  7  7  7  12  12  12  12  12  12  12  12  10  10  13,10868,0.767537169,180.89103319999998,4978.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,13.0
32.8,91.7,32.82,91.66,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7,12,12,12,13,13,14,14,14,14,14, 7  7  7  7  7  7  7  7  12  12  14  14  14  14  14  14  14  14,11120,1.115020066,204.1438293,5220.333333,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
32.9,91.7,32.92,91.66,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,12,12,12,13,13,14,14,14,14,14, 7  7  7  7  7  9  7  7  12  14  14  14  14  14  14  14  14  14,11372,1.347020105,291.179985,5253.75,19.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,12.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
33.0,91.7,33.02,91.66,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,12,12,12,13,13,14,14,14,14,14, 7  7  7  7  7  9  7  7  12  12  12  13  14  14  14  14  14  14,11623,0.9989278090000001,341.9289398,5077.375,7.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7.0,12.0,12.0,12.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0
31.8,91.8,31.82,91.76,7.0,7.0,7.0,7.0,7.0,9.0,7.0,7,7,7,12,12,12,13,13,13,14,14, 7  7  7  7  7  7  7  7  9  9  14  14  14  14  14  14  14  14,8596,1.159141408,267.0515459,4973.777778,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
